pe,unit,description
TB,,"Temperature in bare soil at depth (coded, see Chapter 7.4.6 for format)"
TC,DF,"Temperature, degree days of cooling, above 65 DF or 18.3 DC"
TD,DF,"Temperature, dew point"
TE,,"Temperature, air temperature at elevation above MSL"
TF,DF,"Temperature, degree days of freezing, below 32 DF or 0 DC"
TH,DF,"Temperature, degree days of heating, below 65 DF or 18.3 DC"
TJ,DF,"Temperature, departure from normal"
TM,DF,"Temperature, air, wet bulb"
TN,DF,"Temperature, air, minimum of period"
TP,DF,"Temperature, pan water"
TR,DF,"Temperature, road surface"
TS,DF,"Temperature, bare soil at the surface"
TV,,"Temperature in vegetated soil at depth (coded, see Chapter 7.4.6 for format)"
TW,DF,"Temperature, water"
TX,DF,"Temperature, air, maximum of period"
TZ,DF,"Temperature, Freezing, road surface"
UC,mi,"Wind, accumulated wind travel"
UD,deg,"Wind, direction"
UE,deg,"Wind, standard deviation"
UG,mi/hr,"Wind, gust at observation time"
UH,deg*10,Wind gust direction associated with the wind gust
UL,mi,"Wind, travel length accumulated over specified"
UP,mi/hr,Peak wind speed
UQ,,"Wind direction and speed combined (SSS.SDDD), a value of 23.0275 would indicate a wind of 23.0 mi/hr from 275 degrees"
UR,deg*10,Peak wind direction associated with peak wind speed
US,mi/hr,"Wind, speed"
UT,,Minute of the peak wind speed
VB,volt,Voltage - battery
VC,megawatts,"Generation, surplus capacity of units on line"
VE,MWh,"Generation, energy total"
VG,megawatts,"Generation, pumped water, power produced"
VH,hrs,"Generation, time"
VJ,MWh,"Generation, energy produced from pumped water"
VK,,"Generation, energy stored in reservoir only"
VL,,"Generation, storage due to natural flow only"
VM,,"Generation, losses due to spill and other water losses"
VP,megawatts,"Generation, pumping use, power used"
VQ,MWh,"Generation, pumping use, total energy used"
VR,,"Generation, stored in reservoir plus natural flow, energy potential"
VS,MWh,"Generation, station load, energy used"
VT,megawatts,"Generation, power total"
VU,,"Generator, status (encoded)"
VW,megawatts,"Generation station load, power used"
WA,ppm,"Water, dissolved nitrogen & argon"
WC,umhos/cm,"Water, conductance"
WD,in,"Water, piezometer water depth"
WF,,Not defined in the SHEF code manual; HADS/local extension
WG,in-Hg,"Water, dissolved total gases, pressure"
WH,ppm,"Water, dissolved hydrogen sulfide"
WL,ppm,"Water, suspended sediment"
WO,ppm,"Water, dissolved oxygen"
WP,pH,"Water, ph"
WS,ppt,"Water, salinity"
WT,JTU,"Water, turbidity"
WV,ft/sec,"Water, velocity"
WX,%,"Water, Oxygen Saturation"
WY,ppb,"Water, Chlorophyll"
XC,tenths,Total sky cover
XG,whole number,"Lightning, number of strikes per grid box"
XL,whole number,"Lightning, point strike, assumed one strike at transmitted latitude and longitude"
XP,,"Weather, past NWS synoptic code"
XR,%,"Humidity, relative"
XU,grams/FT3,"Humidity, absolute"
XV,mi,"Weather, visibility"
XW,,"Weather, present NWS synoptic code"
YA,whole number,Number of 15-minute periods a river has been above a specified critical level
YC,whole number,Random report sequence number
YF,watts,"Forward power, a measurement of the DCP, antenna, and coaxial cable"
YI,,SERFC unique
YP,,Reserved Code
YR,watts,"Reflected power, a measurement of the DCP, antenna, and coaxial cable"
YS,whole number,Sequence number of the number of times the DCP has transmitted
YT,whole number,Number of 15-minute periods since a random report was generated due to an increase of 0.4 inch of precipitation
YU,YUIRG,GENOR raingage status level 1 - NERON observing sites
YV,YVIRG,"A Second Battery Voltage (NERON sites ONLY), voltage 0"
YW,YWIRG,GENOR raingage status level 2 - NERON observing sites
YY,YYIRG,GENOR raingage status level 3 - NERON observing sites
YZ,YZIRG,"Time of Observation – Minutes of the calendar day, minutes 0 - NERON observing sites"
